Restaurant Name,Common Name,Inspection Date,Score,Address,Facility City,Zip Code,Facility ID,Process Description,
Colleen's Kitchen,,4/10/2019,96,"1911 ALDRICH ST
AUSTIN, TX 78723
(30.29863812398876, -97.70437047883715)",AUSTIN,78723,11837503,Routine Inspection,
Deep Eddy Food Plaza,,11/1/2018,98,"2407 LAKE AUSTIN BLVD
AUSTIN, TX 78703
(30.27801269497264, -97.77324801578138)",AUSTIN,78703,2804063,Routine Inspection,
Omni Austin,,8/14/2018,82,"701 BRAZOS ST
AUSTIN, TX 78701
(30.26889547859411, -97.74052566918266)",AUSTIN,78701,2801149,Routine Inspection,
Bailey Middle School,,4/11/2019,100,"4020 LOST OASIS HOLW
AUSTIN, TX 78739
(30.164334634033118, -97.87226228895148)",AUSTIN,78739,2800881,Routine Inspection,
"Parmer Children's Montessori Academy,LLC",,1/25/2017,97,"1701 SCOFIELD LN
AUSTIN, TX 78727
(30.415417971598878, -97.68885837782626)",AUSTIN,78727,10484028,Routine Inspection,
BC - Subway,SUBWAY,4/11/2019,86,"12717 SHOPS PKWY
BEE CAVE, TX 78738
(30.30430844290607, -97.94144644549253)",AUSTIN,78738,10262005,Routine Inspection,
Omni Barton Creek Resort & Spa-Halfway House,,4/10/2019,94,"8511 CARRANZO DR
AUSTIN, TX 78735
(30.271491336793712, -97.877375495135)",AUSTIN,78735,11084444,Routine Inspection,
Forest North Elementary,,10/25/2017,99,"13414 BROADMEADE AVE
AUSTIN, TX 78729
(30.470480885982177, -97.78114695106703)",AUSTIN,78729,2801406,Routine Inspection,
Wal-Mart Supercenter/Meat & Produce # 5317,,4/9/2019,100,"9300 S IH
AUSTIN, TX 78748
(30.165494514321672, -97.78952277619845)",AUSTIN,78748,2803896,Routine Inspection,
COTA- Commissary Grand Plaza,,4/13/2019,97,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.135639980655224, -97.64405177187912)",AUSTIN,78617,11229098,Routine Inspection,
Antone's Nightclub LLC,,5/10/2018,96,"305 E 5TH ST
AUSTIN, TX 78701
(30.26607994106367, -97.74038668766528)",AUSTIN,78701,11461414,Routine Inspection,
Kiker Elementary,,4/11/2019,97,"5913 LA CROSSE AVE
AUSTIN, TX 78739
(30.191875610751776, -97.88138492267619)",AUSTIN,78739,2800126,Routine Inspection,
Eddie V's #8502,,10/25/2016,98,"9400 ARBORETUM BLVD
AUSTIN, TX 78759
(30.389353613518225, -97.75212202382592)",AUSTIN,78759,11459941,Routine Inspection,
Joe Lee Johnson Elem.,,4/11/2019,95,"2800 SAULS DR
AUSTIN, TX 78728
(30.456138522756003, -97.68035123971387)",AUSTIN,78728,11584275,Routine Inspection,
NW Pony Colt League (AISD),,4/19/2017,99,"6700 SHOAL CREEK
AUSTIN, TX 78731
(30.286634481271328, -97.7527099323249)",AUSTIN,78731,2802538,Routine Inspection,
Howdy Donut,,4/11/2019,93,"3267 BEE CAVES RD
AUSTIN, TX 78746
(30.27410053535072, -97.80148338796452)",AUSTIN,78746,11305645,Routine Inspection,
Panda Express #1319,,3/29/2019,91,"5764 AIRPORT BLVD
AUSTIN, TX 78752
(30.321558263134552, -97.71430069142365)",AUSTIN,78752,10001260,Routine Inspection,
Mendez Middle School,,4/12/2019,100,"5106 VILLAGE SQUARE DR
AUSTIN, TX 78744
(30.18848113614721, -97.74346957765349)",AUSTIN,78744,2800331,Routine Inspection,
Serrano's Cafe Lakeline,,3/21/2018,87,"11100 PECAN PARK BLVD
AUSTIN, TX 78613
(30.472611932756653, -97.80193759018572)",AUSTIN,78613,2802680,Routine Inspection,
D Lites Ice Cream Shop,,9/22/2016,97,"4404 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.223628115928914, -97.83951594127925)",AUSTIN,78749,10795300,Routine Inspection,
Murchison Middle School,,4/11/2019,99,"3700 NORTH HILLS DR
AUSTIN, TX 78731
(30.35410682909247, -97.7583645533551)",AUSTIN,78731,2800443,Routine Inspection,
The Barr Mansion,,7/17/2018,93,"10463 SPRINKLE RD
AUSTIN, TX 78754
(30.351837978971545, -97.64732927952105)",AUSTIN,78754,2800683,Routine Inspection,
Lucy's Fried Chicken,,10/9/2017,92,"2218 COLLEGE AVE
AUSTIN, TX 78704
(30.240496250666972, -97.75332561137047)",AUSTIN,78704,10662269,Routine Inspection,
COTA - 34 Chophouse Grand Plaza,,4/13/2019,90,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.135639980655224, -97.64405177187912)",AUSTIN,78617,11229131,Routine Inspection,
Walnut Creek School,,4/12/2019,94,"401 W BRAKER LN
AUSTIN, TX 78753
(30.379737537171625, -97.68408719594044)",AUSTIN,78753,2800096,Routine Inspection,
Kwick In,,4/12/2019,94,"1149 AIRPORT BLVD
AUSTIN, TX 78702
(30.273042408830108, -97.69731754122911)",AUSTIN,78702,10748818,Routine Inspection,
"Omelettry, The",,4/11/2019,87,"4631 AIRPORT BLVD
AUSTIN, TX 78751
(30.3060943126815, -97.71506425487296)",AUSTIN,78751,11309001,Routine Inspection,
Bodega on Rio,,3/21/2017,98,"2101 RIO GRANDE ST
AUSTIN, TX 78705
(30.28422142093437, -97.74475040241299)",AUSTIN,78705,10250557,Routine Inspection,
Yellow Jacket Social Club,,9/5/2017,85,"1704 E 5TH ST
AUSTIN, TX 78702
(30.261638273698736, -97.72454157386477)",AUSTIN,78702,10428064,Routine Inspection,
California Pizza Kitchen,,4/9/2019,85,"2901 S CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
(30.257892799713936, -97.80700989442836)",AUSTIN,78746,2802222,Routine Inspection,
International House of Pancakes,,4/5/2019,92,"901 E KOENIG LN
AUSTIN, TX 78751
(30.320623960993526, -97.70979172402691)",AUSTIN,78751,2802877,Routine Inspection,
7-Eleven #36562H,,4/10/2019,78,"6422 S US 183 HWY
AUSTIN, TX 78744
(30.164721707310772, -97.69333658374153)",AUSTIN,78744,10874472,Routine Inspection,
Family Dollar Store #23834,,6/19/2017,96,"118 E OLTORF ST
AUSTIN, TX 78704
(30.238774085019458, -97.75234729357389)",AUSTIN,78704,10003492,Routine Inspection,
Serranos Cafe & Cantina,,4/12/2019,75,"9500 S IH
AUSTIN, TX 78748
(30.162916957124533, -97.79312514711903)",AUSTIN,78748,10120187,Routine Inspection,
BC - Whole Foods Market - Coffee Bar,,1/2/2018,94,"12601 HILL COUNTRY BLVD
BEE CAVE, TX 78738
(30.30766869408602, -97.93764727781424)",AUSTIN,78738,10744625,Routine Inspection,
Barbarella,,1/5/2018,81,"611 RED RIVER ST
AUSTIN, TX 78701
(30.267064001663982, -97.7367733876539)",AUSTIN,78701,10529722,Routine Inspection,
Taco Aranda,,8/18/2017,77,"12115 MANCHACA RD
AUSTIN, TX 78748
(30.141733802420024, -97.83265260745156)",AUSTIN,78748,11461607,Routine Inspection,
Vargas Food Store,,4/10/2018,85,"809 VARGAS RD
AUSTIN, TX 78741
(30.23389797660036, -97.69351842601957)",AUSTIN,78741,2804078,Routine Inspection,
Omni Barton Crk Resort /Spa-Lakeside Dining Rm,,10/7/2016,95,"1800 CLUBHOUSE HILL DR
SPICEWOOD, TX 78669
(30.459907414235996, -98.09871830594963)",AUSTIN,78669,11084449,Routine Inspection,
Larry's Giant Subs,,4/11/2019,83,"5030 W US 290 HWY
AUSTIN, TX 78735
(30.2363295886067, -97.8216897019452)",AUSTIN,78735,10671468,Routine Inspection,
China Kitchen,,4/11/2019,80,"7112 ED BLUESTEIN BLVD
AUSTIN, TX 78723
(30.312564782427636, -97.66380213698123)",AUSTIN,78723,2800893,Routine Inspection,
Southside Flying Pizza - Arcade and Grill,,4/25/2018,92,"11600 MANCHACA RD
AUSTIN, TX 78748
(30.151931671656296, -97.83394284756018)",AUSTIN,78748,11714491,Routine Inspection,
Meals On Wheels and More,,6/30/2017,97,"3227 E 5TH ST
AUSTIN, TX 78702
(30.254525278853038, -97.70634212743401)",AUSTIN,78702,2801634,Routine Inspection,
Airport Quickstop,,9/5/2017,84,"2204 AIRPORT BLVD
AUSTIN, TX 78722
(30.28550719417138, -97.70629675459115)",AUSTIN,78722,11199943,Routine Inspection,
Manor Food Mart #1,,9/1/2016,77,"6700 MANOR RD
AUSTIN, TX 78723
(30.310568120798838, -97.66717157405405)",AUSTIN,78723,10367499,Routine Inspection,
Pizza Paradise,,5/15/2018,89,"1921 CEDAR BEND DR
AUSTIN, TX 78758
(30.40832232426702, -97.69824332279956)",AUSTIN,78758,10371981,Routine Inspection,
Pacific Star Oyster Bar,,5/9/2017,81,"13507 N US 183 HWY
AUSTIN, TX 78729
(30.45060598154604, -97.79004444791191)",AUSTIN,78729,10116344,Routine Inspection,
Wal-Mart Supercenter,,4/9/2019,97,"9300 S IH
AUSTIN, TX 78748
(30.165494514321672, -97.78952277619845)",AUSTIN,78748,2803969,Routine Inspection,
COTA - Pizza Hut Main Grand Stand,,4/13/2019,100,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.135639980655224, -97.64405177187912)",AUSTIN,78617,11229113,Routine Inspection,
Satellite Bistro & Bar,,4/10/2019,95,"5900 W SLAUGHTER LN
AUSTIN, TX 78749
(30.201321998160637, -97.87886435811075)",AUSTIN,78749,10306990,Routine Inspection,
Harmony School of Innovation - Austin,,4/11/2019,99,"2124 E ST ELMO RD
AUSTIN, TX 78744
(30.210053122432925, -97.74529627576369)",AUSTIN,78744,11222208,Routine Inspection,
Don's Short Stop,,7/5/2017,93,"13900 IMMANUEL RD
AUSTIN, TX 78660
(30.40628759140035, -97.6290153764571)",AUSTIN,78660,2803434,Routine Inspection,
Paleface Grocery,,4/9/2019,82,"23526 W SH
SPICEWOOD, TX 78669
(30.38746394624013, -98.08554076968154)",AUSTIN,78669,2801077,Routine Inspection,
Doubletree Club Hotel,,4/12/2019,94,"1617 N IH
AUSTIN, TX 78702
(30.277638737211984, -97.72908506031132)",AUSTIN,78702,10004486,Routine Inspection,
COTA - Velocity,,4/13/2019,97,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.135639980655224, -97.64405177187912)",AUSTIN,78617,11228861,Routine Inspection,
Dearing Elementary School,,8/15/2018,100,"4301 GATTIS SCHOOL RD
PFLUGERVILLE, TX 78660
(30.49593297659782, -97.59380798830871)",AUSTIN,78660,11199110,Routine Inspection,
Oak Hill Coffee,,4/9/2019,100,"6501 W WILLIAM CANNON DR
AUSTIN, TX 78735
(30.235647491227716, -97.86638760347479)",AUSTIN,78735,11015631,Routine Inspection,
Alpha Chi Omega,,11/8/2018,88,"2420 NUECES ST
AUSTIN, TX 78705
(30.2889391042638, -97.74329439454206)",AUSTIN,78705,2800068,Routine Inspection,
Craigo's Pizza and Pastaria,,4/11/2019,89,"4970 W US 290 HWY
AUSTIN, TX 78735
(30.234320817828692, -97.81883191947628)",AUSTIN,78735,2802243,Routine Inspection,
Blazer Tag,,6/23/2017,99,"1701 W BEN WHITE BLVD
AUSTIN, TX 78745
(30.226881638347837, -97.78462095628937)",AUSTIN,78745,2801669,Routine Inspection,
A+A Sichuan China,,3/22/2018,72,"13376 N US 183 HWY
AUSTIN, TX 78750
(30.444779124245365, -97.78909328815872)",AUSTIN,78750,11426430,Routine Inspection,
Bread Basket,,4/11/2019,91,"1800 SCOFIELD RIDGE PKWY
AUSTIN, TX 78727
(30.428633703486565, -97.68166857202634)",AUSTIN,78727,11927255,1st Follow Up to Routine of 50 - 69,
Taco Bell #030157,TACO BELL,4/10/2019,94,"1016 E ANDERSON LN
AUSTIN, TX 78753
(30.337187106235945, -97.69426481063559)",AUSTIN,78753,11066724,Routine Inspection,
Del Valle Elementary School,,4/11/2019,93,"5400 ROSS RD
AUSTIN, TX 78617
(30.175038851397993, -97.62160284325067)",AUSTIN,78617,2801598,Routine Inspection,
Brooklyn Pie,,4/10/2019,88,"5425 BURNET RD
AUSTIN, TX 78756
(30.329123535816834, -97.73957616938578)",AUSTIN,78756,11223093,Routine Inspection,
Laurel Mountain Elem School,,4/11/2019,100,"10111 D K RANCH RD
AUSTIN, TX 78759
(30.414326679664978, -97.78165375899334)",AUSTIN,78759,2800705,Routine Inspection,
El Meson,,10/11/2018,86,"5808 BURLESON RD
AUSTIN, TX 78744
(30.207984507795953, -97.72089790113233)",AUSTIN,78744,2801979,Routine Inspection,
Craft Pride,,9/18/2018,100,"61 RAINEY ST
AUSTIN, TX 78701
(30.25796177859519, -97.73893426881435)",AUSTIN,78701,10887239,Routine Inspection,
Concrete Cowboy,,5/11/2017,85,"719 W 6TH ST
AUSTIN, TX 78701
(30.270029144774817, -97.75044942658857)",AUSTIN,78701,11143344,Routine Inspection,
Randall's #2490-Bakery,,5/10/2017,99,"10900 RESEARCH BLVD
AUSTIN, TX 78759
(30.401504470501333, -97.74678509027345)",AUSTIN,78759,2801168,Routine Inspection,
Italic,,8/2/2018,84,"123 W 6TH ST
AUSTIN, TX 78701
(30.26820987319347, -97.74403665096025)",AUSTIN,78701,11258844,Routine Inspection,
Walgreens #13444,,6/21/2017,100,"120 W SLAUGHTER LN
AUSTIN, TX 78748
(30.167467251668135, -97.78891569856319)",AUSTIN,78748,10495238,Routine Inspection,
Torchy's Tacos,,4/12/2019,87,"3005 S LAMAR BLVD
AUSTIN, TX 78704
(30.241345371569512, -97.78373739407446)",AUSTIN,78704,10558516,Routine Inspection,
SV - Zoes Kitchen,,4/9/2019,87,"5601 BRODIE LN
SUNSET VALLEY, TX 78745
(30.22689651743608, -97.82128870041979)",AUSTIN,78745,10879986,Routine Inspection,
Pita Fusion,,1/15/2019,95,"13776 N US 183 HWY
AUSTIN, TX 78750
(30.462188307760552, -97.79721393938739)",AUSTIN,78750,11503481,Routine Inspection,
Omni Barton Creek,,4/10/2019,85,"8501 CARRANZO DR
AUSTIN, TX 78735
(30.2718427048244, -97.8764478151855)",AUSTIN,78735,11874640,Routine Inspection,
Asti Trattoria,,4/9/2019,78,"408 E 43RD ST
AUSTIN, TX 78751
(30.30500329455685, -97.72647068083701)",AUSTIN,78751,2801708,Routine Inspection,
BC - Rocco's Grill,,5/29/2018,88,"12432 FM 2244 RD
BEE CAVE, TX 78738
(30.305562435189564, -97.93377048831756)",AUSTIN,78738,11336728,Routine Inspection,
Costco - Deli,,8/11/2016,97,"4301 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.22138854436619, -97.83965356712693)",AUSTIN,78749,2803204,Routine Inspection,
"Treat Monger, The",,4/12/2019,100,"3505 N IH
AUSTIN, TX 78722
(30.293080260118117, -97.72021676191234)",AUSTIN,78722,11712688,Routine Inspection,
Wagabag #19,,5/24/2017,97,"2900 N QUINLAN PARK RD
AUSTIN, TX 78732
(30.369177603278988, -97.8926312566579)",AUSTIN,78732,2803935,Routine Inspection,
Cici's Pizza,,1/11/2018,94,"9717 N LAMAR BLVD
AUSTIN, TX 78753
(30.365835279889524, -97.69454105243369)",AUSTIN,78753,11372778,Routine Inspection,
P. Terry's Burger Stand,,4/8/2019,94,"404 S LAMAR BLVD
AUSTIN, TX 78704
(30.261997409743127, -97.7583371752301)",AUSTIN,78704,2802815,Routine Inspection,
Pizza Hut,,7/19/2017,91,"1901 W WILLIAM CANNON DR
AUSTIN, TX 78745
(30.20188498450306, -97.80505886528006)",AUSTIN,78745,2802765,Routine Inspection,
Thai Kitchen,,4/11/2019,75,"3009 GUADALUPE ST
AUSTIN, TX 78705
(30.296745030866028, -97.74168400710585)",AUSTIN,78705,11687789,Routine Inspection,
Mother's Cafe,,10/30/2018,86,"4215 DUVAL ST
AUSTIN, TX 78751
(30.304398997058396, -97.7259396613585)",AUSTIN,78751,2800618,Routine Inspection,
COTA - Rev Bar 2 Main Grand Stand East,,4/13/2019,95,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.135639980655224, -97.64405177187912)",AUSTIN,78617,11229121,Routine Inspection,
Berkman Food Mart,,6/5/2018,91,"6615 BERKMAN DR
AUSTIN, TX 78723
(30.31956017646963, -97.68880507129985)",AUSTIN,78723,2803871,Routine Inspection,
COTA - RS3 Turn 1,,4/13/2019,95,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.135639980655224, -97.64405177187912)",AUSTIN,78617,11229117,Routine Inspection,
Cilantro's Mexican Restaurant,,3/21/2018,93,"1025 W STASSNEY LN
AUSTIN, TX 78745
(30.21024384241019, -97.78705013897601)",AUSTIN,78745,10019057,Routine Inspection,
WL - Pinkberry #170,,7/26/2017,98,"3300 BEE CAVES RD
WEST LAKE HILLS, TX 78746
(30.27573679197241, -97.80016632152368)",AUSTIN,78746,10901300,Routine Inspection,
Short Stop #2,,1/22/2019,94,"12784 N US 183 HWY
AUSTIN, TX 78759
(30.433327934030004, -97.76963170837652)",AUSTIN,78759,2800935,Routine Inspection,
